"sample_id","side_or_trapnum","watershed","date","dipteran_large","terrestrial_large","caddisfly_large","mayfly_large","stonefly_large","other_large","dipteran_small","terrestrial_small","caddisfly_small","other_small"
NA,"1","1",2018-05-14,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10","1",2018-05-14,NA,NA,NA,NA,NA,NA,47,15,NA,NA
NA,"2","1",2018-05-14,NA,7,NA,NA,NA,NA,48,28,NA,NA
NA,"3","1",2018-05-14,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"4","1",2018-05-14,NA,3,NA,NA,NA,NA,45,15,NA,NA
NA,"5","1",2018-05-14,1,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"6","1",2018-05-14,1,3,NA,NA,1,NA,NA,NA,NA,NA
NA,"7","1",2018-05-14,NA,2,NA,NA,NA,NA,54,34,NA,NA
NA,"8","1",2018-05-14,4,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9","1",2018-05-14,2,3,1,NA,NA,NA,NA,NA,NA,NA
NA,"1","1",2018-05-21,2,1,1,NA,NA,NA,85,4,NA,NA
NA,"10","1",2018-05-21,1,2,NA,NA,NA,1,37,NA,NA,NA
NA,"10","1",2018-05-21,2,3,NA,NA,NA,NA,34,10,NA,NA
NA,"2","1",2018-05-21,1,NA,1,NA,NA,NA,NA,NA,NA,NA
NA,"3","1",2018-05-21,1,NA,NA,NA,NA,NA,62,NA,NA,7
NA,"3","1",2018-05-21,NA,1,NA,NA,NA,NA,57,6,NA,NA
NA,"4","1",2018-05-21,3,NA,NA,NA,NA,NA,37,1,NA,6
NA,"4","1",2018-05-21,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"5","1",2018-05-21,2,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"6","1",2018-05-21,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"7","1",2018-05-21,1,4,NA,NA,2,NA,NA,NA,NA,NA
NA,"8","1",2018-05-21,1,6,NA,NA,NA,NA,NA,NA,NA,NA
NA,"9","1",2018-05-21,5,NA,NA,NA,NA,NA,31,NA,NA,5
NA,"9","1",2018-05-21,4,1,NA,NA,NA,NA,30,4,NA,NA
NA,"1","1",2018-05-29,4,6,1,NA,1,NA,NA,NA,NA,NA
NA,"10","1",2018-05-29,1,4,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-05-29,NA,1,2,NA,2,NA,NA,NA,NA,NA
NA,"3","1",2018-05-29,4,5,NA,NA,2,NA,NA,NA,NA,NA
NA,"4","1",2018-05-29,2,NA,NA,NA,2,NA,25,2,NA,NA
NA,"5","1",2018-05-29,3,3,1,NA,NA,NA,70,3,NA,NA
NA,"6","1",2018-05-29,1,2,NA,NA,4,NA,44,5,NA,NA
NA,"7","1",2018-05-29,2,7,NA,NA,1,NA,NA,NA,NA,NA
NA,"8","1",2018-05-29,1,3,4,NA,1,NA,NA,NA,NA,NA
NA,"9","1",2018-05-29,NA,6,NA,NA,1,NA,41,5,NA,NA
NA,"1","1",2018-06-04,1,NA,NA,NA,NA,NA,19,1,NA,7
NA,"1","1",2018-06-04,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,"10","1",2018-06-04,NA,NA,NA,NA,NA,1,33,NA,NA,9
NA,"10","1",2018-06-04,2,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-06-04,1,NA,NA,NA,NA,2,16,3,NA,6
NA,"2","1",2018-06-04,1,1,NA,NA,2,NA,14,5,NA,NA
NA,"3","1",2018-06-04,NA,1,NA,NA,NA,2,41,7,NA,6
NA,"3","1",2018-06-04,1,2,NA,NA,2,NA,NA,NA,NA,NA
NA,"4","1",2018-06-04,NA,1,NA,NA,NA,4,36,5,NA,12
NA,"4","1",2018-06-04,7,7,2,NA,NA,NA,37,6,NA,NA
NA,"5","1",2018-06-04,NA,NA,NA,NA,NA,1,19,3,NA,8
NA,"5","1",2018-06-04,3,3,NA,NA,NA,NA,NA,NA,NA,NA
NA,"6","1",2018-06-04,NA,1,NA,NA,NA,2,24,1,NA,6
NA,"6","1",2018-06-04,NA,3,1,NA,1,NA,25,4,NA,NA
NA,"7","1",2018-06-04,1,NA,NA,NA,1,1,11,1,NA,5
NA,"7","1",2018-06-04,1,2,NA,NA,2,NA,NA,NA,NA,NA
NA,"8","1",2018-06-04,NA,NA,NA,NA,NA,1,34,1,NA,5
NA,"8","1",2018-06-04,2,2,NA,NA,1,NA,36,NA,NA,NA
NA,"9","1",2018-06-04,1,NA,NA,NA,NA,2,26,NA,NA,14
NA,"9","1",2018-06-04,NA,2,3,NA,1,NA,NA,NA,NA,NA
NA,"1","1",2018-06-11,1,NA,NA,NA,NA,NA,19,NA,NA,9
NA,"1","1",2018-06-11,NA,1,NA,NA,1,NA,NA,NA,NA,NA
NA,"10","1",2018-06-11,NA,NA,NA,NA,NA,NA,24,2,NA,9
NA,"10","1",2018-06-11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"2","1",2018-06-11,NA,NA,NA,NA,NA,1,19,NA,NA,11
NA,"2","1",2018-06-11,1,1,NA,NA,1,NA,NA,NA,NA,NA
NA,"3","1",2018-06-11,NA,NA,NA,NA,NA,NA,19,3,NA,10
NA,"3","1",2018-06-11,NA,NA,NA,NA,NA,NA,21,9,NA,NA
